iter	Passed	Remaining
0	144	144342
1	145	72560
2	146	48606
3	147	36659
4	148	29456
5	148	24657
6	149	21266
7	150	18706
8	151	16719
9	152	15121
10	153	13820
11	154	12755
12	156	11855
13	157	11076
14	158	10386
15	159	9779
16	159	9247
17	160	8774
18	161	8352
19	162	7970
20	163	7628
21	164	7312
22	165	7021
23	166	6754
24	166	6507
25	167	6287
26	168	6082
27	169	5898
28	171	5728
29	172	5567
30	173	5408
31	173	5262
32	174	5124
33	175	4994
34	176	4869
35	177	4754
36	178	4641
37	179	4538
38	180	4437
39	180	4342
40	181	4254
41	182	4170
42	183	4087
43	184	4013
44	185	3940
45	186	3875
46	188	3816
47	189	3753
48	190	3691
49	190	3628
50	191	3569
51	192	3513
52	193	3459
53	194	3408
54	195	3360
55	196	3310
56	197	3263
57	198	3218
58	199	3174
59	200	3143
60	201	3109
61	202	3069
62	203	3031
63	204	2993
64	205	2956
65	206	2922
66	207	2890
67	208	2850
68	209	2820
69	210	2791
70	210	2760
71	211	2731
72	212	2702
73	213	2675
74	215	2655
75	216	2633
76	217	2607
77	218	2582
78	219	2558
79	220	2533
80	221	2513
81	222	2490
82	223	2468
83	224	2446
84	224	2421
85	225	2400
86	226	2376
87	227	2356
88	228	2335
89	229	2320
90	232	2326
91	234	2313
92	235	2296
93	236	2279
94	237	2261
95	238	2242
96	238	2224
97	239	2207
98	240	2189
99	241	2172
100	242	2156
101	242	2137
102	243	2121
103	245	2111
104	246	2105
105	248	2098
106	249	2086
107	250	2072
108	251	2058
109	252	2044
110	253	2030
111	254	2016
112	255	2002
113	256	1991
114	257	1978
115	257	1964
116	258	1952
117	260	1944
118	262	1939
119	263	1931
120	264	1918
121	264	1905
122	265	1891
123	265	1879
124	266	1866
125	267	1855
126	268	1845
127	269	1833
128	269	1822
129	270	1811
130	271	1800
131	272	1790
132	272	1779
133	274	1772
134	277	1776
135	278	1767
136	278	1756
137	279	1746
138	280	1736
139	281	1727
140	282	1718
141	282	1709
142	283	1700
